,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc,proximity_rank
5017,18,2025-09-20 21:47:01.342,2025-09-20,2025-09-21 03:17:01.342,2025-09-20 21:47:00,12.1,638.4,2.0,2635.375,3.54,1.0,0.0,1.0,28.423065,76.99196,222.8,0.0,NEAR_GGN,22.37,1
5211,18,2025-09-20 21:54:33.443,2025-09-20,2025-09-21 03:24:33.443,2025-09-20 21:54:00,8.3,638.0,2.0,2635.375,0.0,1.0,0.0,1.0,28.423178,76.992065,223.4,,NEAR_GGN,33.91,1
8921,18,2025-09-21 00:26:01.414,2025-09-21,2025-09-21 05:56:01.414,2025-09-21 00:26:00,7.6,638.4,2.0,2635.38,4.99,1.0,0.0,1.0,28.423502,76.99238,214.0,0.0,NEAR_GGN,78.12,1
8931,18,2025-09-21 00:26:22.314,2025-09-21,2025-09-21 05:56:22.314,2025-09-21 00:26:00,9.1,638.3,2.0,2635.5,0.0,1.0,0.0,1.0,28.423735,76.99265,214.6,,NEAR_GGN,114.83,1
8946,18,2025-09-21 00:27:00.294,2025-09-21,2025-09-21 05:57:00.294,2025-09-21 00:27:00,167.1,636.4,2.0,2635.51,26.23,1.0,0.0,1.0,28.424402,76.993355,211.8,0.0,NEAR_GGN,215.5,1
17186,18,2025-09-21 05:07:03.519,2025-09-21,2025-09-21 10:37:03.519,2025-09-21 05:07:00,311.7,623.3,2.0,2845.875,60.53,1.0,0.0,1.0,29.547909,77.74651,254.7,73.2,NEAR_MZF,202.91,1
17208,18,2025-09-21 05:08:00.639,2025-09-21,2025-09-21 10:38:00.639,2025-09-21 05:08:00,18.4,628.8,2.0,2846.5,0.07,1.0,0.0,1.0,29.549381,77.747734,255.9,3.92,NEAR_MZF,4.98,1
19766,18,2025-09-21 05:59:03.001,2025-09-21,2025-09-21 11:29:03.001,2025-09-21 05:59:00,,,2.0,2846.5,4.84,1.0,0.0,1.0,29.549416,77.74778,255.4,11.52,NEAR_MZF,7.94,1
32990,18,2025-09-21 11:44:05.882,2025-09-21,2025-09-21 17:14:05.882,2025-09-21 11:44:00,10.3,621.7,2.0,2990.375,5.7,1.0,0.0,1.0,30.289133,78.000145,612.3,0.0,NEAR_DDN,190.0,1
33035,18,2025-09-21 11:45:08.142,2025-09-21,2025-09-21 17:15:08.142,2025-09-21 11:45:00,9.8,622.6,2.0,2990.38,0.0,1.0,0.0,1.0,30.289118,78.000046,626.5,5.06,NEAR_DDN,183.39,1
33072,18,2025-09-21 11:45:52.542,2025-09-21,2025-09-21 17:15:52.542,2025-09-21 11:45:00,12.1,622.6,2.0,2990.38,0.0,1.0,0.0,1.0,30.289118,78.000046,626.5,,NEAR_DDN,183.39,1
33097,18,2025-09-21 11:46:21.542,2025-09-21,2025-09-21 17:16:21.542,2025-09-21 11:46:00,8.7,622.6,2.0,2990.38,0.0,1.0,0.0,1.0,30.288897,78.00002,622.9,,NEAR_DDN,161.63,1
33135,18,2025-09-21 11:47:05.222,2025-09-21,2025-09-21 17:17:05.222,2025-09-21 11:47:00,-55.7,622.0,2.0,2990.51,13.08,1.0,0.0,1.0,30.288029,77.99922,612.5,8.28,NEAR_DDN,38.75,1
33214,18,2025-09-21 11:48:50.502,2025-09-21,2025-09-21 17:18:50.502,2025-09-21 11:48:00,3.1,622.8,2.0,2990.5,0.0,1.0,0.0,1.0,30.287981,77.999054,613.3,,NEAR_DDN,28.9,1
